tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
25/3/2025,D25004750,MD-2,NUAN01,QFILI01,80,Btl,JAK4I121XX,1/9/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QFILI01,920,Btl,JAK4I125XX,1/9/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QTOPS07,400,Btl,48072414,1/7/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004750,MD-2,NUAN01,QTOPS10,200,Btl,48103114,1/10/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004751,MD-2,NUAN01,QREGE09,240,Btl,248Q12601,1/11/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004751,MD-2,NUAN01,QVIRT01,4000,Btl,CBT4JS2115,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004752,P-2,WULA01,QABEN01,1000,Btl,ADV321E045,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004752,P-2,WULA01,QABEN02,400,Btl,ADV347E055,1/12/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004753,BWI-1,LEST06,QNEOC02,20,Btl,66177,1/6/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004754,BWI-2,CAHA01,QGALL12,40,Btl,29113401,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004754,BWI-2,CAHA01,QNPKN02,15,Zak,0,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004755,BWI-1,LEST06,QJAGU25,20,Pack,264,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004756,JUBS,SETI01,QJAGU25,60,Pack,264,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004757,BWI-1,LANG03,QJAGU25,60,Pack,264,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004758,BWI-1,MUJA01,QJAGU25,100,Pack,264,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004759,MD-1,RIZK05,QROUN03,400,Btl,502016,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004760,KD-2,TANI49,QNATI02,1000,Pack,PI23000886,1/3/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004760,KD-2,TANI49,QVAYE03,100,Btl,PI41003771,1/3/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004761,JUBS,FAST07,QJAGU29,500,Pack,20207539,27/1/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004762,JUBS,FAST07,QAMIS03,200,Btl,"JAK4LS1345 (tanpa BC)",1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004762,JUBS,FAST07,QKARI03,1250,Pack,16123401,1/3/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004762,JUBS,FAST07,QMAMI03,20,Btl,M0925C0701,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004763,P-2,BALE01,QAZIZI01,20,Btl,ADV0530210323,1/3/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004763,P-2,BALE01,QABEN01,500,Btl,ADV321E045,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004764,P-2,KONC16,QBAST03,96,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004765,P-2,HARI08,QSPRA15,1,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004766,JUBS,TANI59,QROUN04,5000,Btl,502014,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004767,BWI-1,MULY07,QVICT02,200,Pack,F0425C0601,1/3/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004767,BWI-1,MULY07,QMANZ01,100,Pack,2JU5M2W0108,1/3/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004767,BWI-1,MULY07,QBAST03,600,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004767,BWI-1,MULY07,QSPRA40,30,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004767,BWI-1,MULY07,QTANG08,60,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004768,BWI-1,MULY07,QGLUF03,130,Btl,222020002,1/11/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,D25004768,BWI-1,MULY07,QGLUF03,370,Btl,222020002,1/11/2028,1,1,1,"2025-03-25 19:57:48"
