tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
27/5/2025,D25007859,JLS,TANI79,QGAND01,40,Pack,BN4449,1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007859,JLS,TANI79,QABOJ01,40,Pack,ADV2340220125ST,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007859,JLS,TANI79,QBIGG07,50,Sach,01012025,1/1/2031,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007860,JUBS,AGRO52,QBENA01,25,Kg,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007861,MD-2,SUBU01,QFILI01,1500,Btl,JAK4J111XX,1/10/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007861,MD-2,SUBU01,QFILI01,3500,Btl,JAK4J109XX,1/10/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007861,MD-2,SUBU01,QORON01,200,Btl,JAK4H27SA1,1/8/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007862,JUBS,BINT31,QAMIS03,40,Btl,"JAK4LS1344 (tanpa BC)",1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007863,SBY,GUNA02,QRICE03,100,Btl,PV00001467,1/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007863,SBY,GUNA02,QSPON01,40,Btl,1219EE1252,1/3/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007864,JUBS,TANI114,QMAGI01,220,Btl,MGX2505101007,1/5/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007865,JUBS,TANI114,QJAGU64,20,Pack,1240872,1/2/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007865,JUBS,TANI114,QTIMU06,10,Pack,47240703,29/10/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007866,SBY,TANI194,QTANG12,75,Pcs,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007867,JLS,PUTR40,QJAGU55,5,Pack,422671,1/10/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007867,JLS,PUTR40,QJAGU47,7,Pack,250221AF01,21/11/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007868,JLS,RITA01,QJAGU25,40,Pack,190133A,1/5/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007869,JLS,RITA01,QKARI03,50,Pack,16123401,1/3/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007870,P-2,AGRO13,QCORI01,200,Btl,23093101,1/11/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007870,P-2,AGRO13,QCORI02,20,Btl,23093101,1/11/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007871,P-2,MADA02,QPOP02,15,Btl,23RFS3620,1/11/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007871,P-2,MADA02,QABEN02,9,Btl,ADV106E053,1/4/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007871,P-2,MADA02,QABEN01,40,Btl,ADV321E045,1/11/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007871,P-2,MADA02,QABEN02,6,Btl,ADV347E055,1/12/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007872,BLI-2,SAHA18,QCEBA03,100,Btl,45102811,1/10/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007872,BLI-2,SAHA18,QAMAZ01,160,Btl,26092802,1/9/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007873,BLI-2,SETI03,QRATG01,250,Pack,2104EE2121,1/5/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QMETS01,5,Pack,060192,1/8/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QMETS01,16,Pack,060192,1/8/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QMETS01,29,Pack,060192,1/8/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QRICE03,5,Btl,PV00001450,1/10/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QACRO03,2,Pack,2405Q05001,1/1/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QACRO03,4,Pack,2405Q08001,1/1/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QASTA02,10,Pack,25021301,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007874,BLI-2,SARI27,QABOJ01,15,Pack,ADV2340220125ST,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007875,BLI-2,SARI27,QKARI03,5,Pack,16123401,1/3/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007875,BLI-2,SARI27,QCHAM02,2,Pack,2502003,1/2/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007875,BLI-2,SARI27,QATON07,3,Btl,04110228525,1/4/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007876,BWI-3,MUNA01,QGAME03,20,Btl,2023SM0608,1/6/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007877,JLS,WUKI01,QGAND02,24,Pack,1529,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007878,SBY,GARD02,QEM-404,15,Btl,090225,1/2/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007878,SBY,GARD02,QEM-401,15,Btl,250425,1/4/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007878,SBY,GARD02,QGAND01,144,Pack,BN0542,1/1/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007879,SBY,REKA02,QMATA03,300,Btl,JAK4G24084,1/7/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007879,SBY,REKA02,QSELT01,400,Btl,S25031901,1/10/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007880,JUBS,FAJA04,QMANZ01,250,Pack,2CW5MZW066,1/4/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007881,JUBS,"HANC 01",QBASR03,2,Btl,BA2311081000,1/11/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007881,JUBS,"HANC 01",QBASR03,8,Btl,BA2505171000,1/5/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007882,JUBS,TANI56,QPLEN02,6,Pack,SRG4FW1103,1/6/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007882,JUBS,TANI56,QPLEN01,6,Pack,SRG4HW1115,1/8/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007883,BWI-2,EKAJ01,QQIUT02,125,Pack,240801,1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007884,BWI-2,EKAJ01,QJAGU72,100,Pack,250425BF01,17/4/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007885,SBY,BARO09,QRUMP01,1500,Btl,PITL003506,1/5/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007886,JLS,SAIL01,QMKP01,20,Pack,0,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007886,JLS,SAIL01,QGAND02,120,Pack,1529,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007886,JLS,SAIL01,QMONE07,40,Btl,23121804,1/11/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007886,JLS,SAIL01,QMONE01,20,Btl,24071246,1/6/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007886,JLS,SAIL01,QQIUM07,10,Btl,20250306,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007887,JLS,SAIL01,QJAGU78,40,Pack,1CFB01D013,6/3/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007888,P-2,SUMB212,QGAND04,1800,Pack,1526,1/4/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007889,JUBS,FAJA04,QRATG01,500,Pack,2104EE2121,1/5/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007890,MD-1,RIZK05,QGAND03,7488,Pack,BN5431,1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007891,BLI-2,KECI01,QFUTA15,10,Btl,22213313,1/2/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007892,BLI-2,KECI01,QOPLO04,40,Btl,30153301,1/7/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,D25007893,MD-1,BERK01,QEROS02,20000,Pack,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,T25000853,KD-2,SUPR03,QDESA01,100,Btl,NISL240401,1/6/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,T25000853,KD-2,SUPR03,QBIGG07,50,Sach,01012025,1/1/2031,1,1,1,"2025-05-27 12:00:06"
27/5/2025,T25000854,BWI-1,BARU02,QPOWE03,20,Btl,PNB41003386,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001249,JLS,MERD01,QMELO11,6,Pack,240052511,7/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001249,JLS,MERD01,QTIMU29,50,Pack,271052574,21/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001250,SBY,MAJU22,QPOP02,96,Btl,23RFS3620,1/11/2025,1,1,1,"2025-05-27 12:00:06"
