tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
2/2/2026,26000218,QMETI05,"Metindo 25 WP 40 X 250 gr*",1/9/2030,1400,SJ25100244,14/03/2026,1
11/3/2026,26000218B,QCABE63,"Cabe Darmais F1 12 X 15 X 10 gr",28/8/2027,426,SJP2603-0223,14/03/2026,1
11/3/2026,26000218B,QCABE63,"Cabe Darmais F1 12 X 15 X 10 gr",28/8/2027,22,SJP2603-0223,14/03/2026,1
11/3/2026,26000218B,QCABE63,"Cabe Darmais F1 12 X 15 X 10 gr",2/9/2027,34,SJP2603-0223,14/03/2026,1
11/3/2026,26000218B,QCABE63,"Cabe Darmais F1 12 X 15 X 10 gr",28/8/2027,58,SJP2603-0223,14/03/2026,1
2/2/2026,26000219,QQIUO02,"Qiuonol 50 x 100 ml",1/1/2030,987,"22 (PENGGANTI PRA260008/REPACKING)",14/03/2026,1
11/3/2026,26000219B,QTIMU29,"Timun Semi F1 12 X 10 X 20 gr*",9/9/2027,600,SJP2603-0385,14/03/2026,1
2/2/2026,26000220,QGAND01,"Gandasil B 144 X 100 gr",1/10/2028,72000,026/0126/M,14/03/2026,1
2/2/2026,26000220,QGAND02,"Gandasil B 24 X 500 gr",1/12/2028,24000,026/0126/M,14/03/2026,1
2/2/2026,26000220,QGAND04,"Gandasil D 24 X 500 gr",1/12/2028,12000,026/0126/M,14/03/2026,1
12/3/2026,26000220B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,5000,851006692,14/03/2026,1
2/2/2026,26000221,QDEKA03,"Dekamon 22.43 L 12 X 1 ltr",1/4/2028,204,027/0126/M,14/03/2026,1
2/2/2026,26000221,QDEKA01,"Dekamon 22.43 L 20 X 500 ml",1/11/2028,2000,027/0126/M,14/03/2026,1
2/2/2026,26000221,QDEKA03,"Dekamon 22.43 L 12 X 1 ltr",1/1/2029,96,027/0126/M,14/03/2026,1
