id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
89;KD89;QABAC03;B26008507;2026-07-02;Abacel 18 EC 20 X 500 ml;2029-03-01;20;0;1;20;2029-03-01
90;KD90;QMAES02;B26008507;2026-07-02;Maestro 200 EC 20 X 500 ml;2031-02-01;40;0;2;20;2031-02-01
91;KD91;QABAC03;D26009806;2026-07-02;Abacel 18 EC 20 X 500 ml;2029-03-01;40;0;2;20;2029-03-01
92;KD92;QEMAC03;D26009806;2026-07-02;Emacel 30 EC 20 X 500 ml;2028-12-01;40;0;2;20;2028-12-01
93;KD93;QREGE03;D26009806;2026-07-02;Regent 50 SC Red 80 X 50 ml;2028-01-01;400;0;5;80;2028-01-01
94;KD94;QREGE02;D26009806;2026-07-02;Regent 50 SC Red 48 X 100 ml;2028-01-01;240;0;5;48;2028-01-01
95;KD95;QABAC04;D26009806;2026-07-02;Abacel 18 EC 40 X 250 ml;2029-01-01;80;0;2;40;2029-01-01
96;KD96;QEMAC05;D26009807;2026-07-02;Emacel 30 EC 40 X 250 ml;2028-12-01;40;0;1;40;2028-12-01
97;KD97;QDECI02;D26009807;2026-07-02;Decis 25 EC 100 X 50 ml;2030-04-01;500;0;5;100;2030-04-01
98;KD98;QSIDA15;D26009814;2026-07-02;Sidamec 20 EC Black 25 X 500 ml;2031-06-01;25;0;1;25;2031-06-01
99;KD99;QPAPA03;D26009823;2026-07-02;Papandayan 486 SL 20 ltr;2030-11-01;45;45;0;1;2030-11-01
100;KD100;QPAPA03;D26009823;2026-07-02;Papandayan 486 SL 20 ltr;2030-12-01;5;5;0;1;2030-12-01
101;KD101;QGALL12;D26009828;2026-07-02;Gallery 403 SL 10 X 1 ltr + SG.02 100 gr;2030-05-01;50;0;5;10;2030-05-01
102;KD102;QJAGU99;D26009829;2026-07-02;Jagung Manis Master Sweet 45 F1 20 X 3600 biji;2027-01-01;20;0;1;20;2027-01-01
