Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="ASAGR06"	Sagri-Storm 100/400/50 SC 20 X 1 ltr*	0	0	20	1	1	1	Btl	SATYA01	Satya Agro Indonesia, PT	No Group	No Group	No Group	Sagri-Storm 100/400/50 SC	Nicosulfuron + Atrazine + Carfentrazone ethyl	C	7895
="ASAGR07"	Sagri-Fix 10 ml (Sample)	0	0	1	1	1	1	Pcs			No Group	No Group	No Group	No Group			8035
="ASALV01"	Salvo 30 EC 20 X 400 ml	0	0	20	1	1	0	Btl	MITRA01	Mitra Kreasi Dharma, PT	Obat	Insektisida	No Group				462
="ASALV02"	Salvo 30 EC 50 X 100 ml	0	0	50	1	1	0	Btl	MITRA01	Mitra Kreasi Dharma, PT	Obat	Insektisida	No Group				2285
="ASAMA01"	Samar 78 WP 100 gr	0	0	1	1	1	1	Pack	CATUR01	Catur Agrodaya Mandiri, PT	Obat	Insektisida	Samar 78 WP				4930
="ASAMP01"	Sampurna B/K 120 X 100 gr	0	0	120	1	1	88	Pack	NUNTU01	Nuntun Tani	Pupuk	Pupuk	No Group				463
="ASAMP02"	Sampurna B/K 24 X 500 gr	0	0	24	1	1	482.08	Pack	NUNTU01	Nuntun Tani	Pupuk	Pupuk	No Group				464
="ASAMP03"	Sampurna D/H 120 X 100 gr	0	0	120	1	1	89.67	Pack	NUNTU01	Nuntun Tani	Pupuk	Pupuk	No Group				465
="ASAMP04"	Sampurna D/H 24 X 500 gr	0	0	24	1	1	482.08	Pack	NUNTU01	Nuntun Tani	Pupuk	Pupuk	No Group				466
="ASAMP05"	Sample Promosi Titipan SGI 1 X 1	0	0	1	1	1	1	Pcs	SINAR01	Sinar General Industries, PT	No Group	No Group	No Group	No Group			8139
="ASAMP06"	Sample SGI Pestisida	0	0	1	1	1	1	Pcs			No Group	No Group	No Group	No Group			8409
="ASAMP10"	Sample CR 372	0	0	1	1	1	1	Pcs			No Group	No Group	No Group				6728
="ASANG01"	Sangit 50 EC 20 X 1 ltr	0	0	20	1	1	1	Btl	SINAR01	Sinar General Industries, PT	Obat	Insektisida	Sangit 50 EC				9262
="ASANT01"	Santrino 100 EC 40 X 250 ml	0	0	40	1	1	0	Btl	SANTA01	Santani Sejahtera, PT	Obat	Insektisida	No Group				2025
="ASANT02"	Santoat 400 EC 20 X 500 ml	0	0	20	1	1	0	Btl	SANTA02	Santani Agro Perkasa, PT	Obat	Insektisida	Santoat 400 EC				3045
="ASANT03"	Santoat 400 EC 40 X 250 ml	0	0	40	1	1	0	Btl	SANTA02	Santani Agro Perkasa, PT	Obat	Insektisida	Santoat 400 EC				3046
="ASANT04"	Santoat 400 EC 1 ltr	0	0	1	1	1	1	Btl	SANTA02	Santani Agro Perkasa, PT	Obat	Insektisida	Santoat 400 EC				4198
="ASANT05"	Santaquat 276 SL 20 X 1 ltr	0	0	20	1	1	1	Btl	SANTA02	Santani Agro Perkasa, PT	No Group	No Group	No Group	Santaquat 276 SL	Ion Parakuat		6614
="ASANV01"	Sanvit 120 SL 20 X 500 ml	0	0	20	1	1	615.5	Btl	MENTA01	Mentari, CV	Obat	Perata & Perekat	Sanvit 120 SL		Nonil Fenol Poliglikol Eter		2026
="ASAPR01"	Saprodap 16.20.0+125 @25 kg	0	0	1	1	1	25560	Zak	SAPRO01	Saprotan Utama, CV	Pupuk	Pupuk	Saprodap				467
="ASARI01"	Saringan Tabung 14 ltr & 17 ltr Star Metal	0	100	1	1	1	10.2	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Sarana Pertanian	No Group	Saringan Tabung			468
="ASARI02"	Saringan Tangki Star Metal	0	3	1	1	1	17	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Sarana Pertanian	Saringan Tangki Star Metal	Saringan Tangki Star Metal			3245
="ASARU01"	Sarung Tanwin	0	0	1	1	1	1	Pcs			No Group	No Group	No Group				9094
="ASATU01"	Saturn-D GR 10 X 2 kg	0	0	10	1	1	2000	Pack	PETRO01	Petrokimia Kayaku, PT	Obat	Herbisida	Saturn-D GR		Tiobenkarb & 2,4-D IEB		469
="ASATU02"	Saturn Plus 20 X 500 ml*	0	0	20	1	1	690	Btl			No Group	No Group	No Group	Saturn Plus 600 EC	Tiobenkarb + 2,4-D IEB		8104
="ASATU03"	Saturn Plus 20 X 1 ltr*	0	0	20	1	1	1240	Btl			No Group	No Group	No Group	Saturn Plus 600 EC	Tiobenkarb + 2,4-D IEB		8105
="ASATU04"	Saturn Plus 20 X 250 ml*	0	0	20	1	1	373	Btl			No Group	No Group	No Group				8592
="ASATY01"	Satyazeb 80 WP 20 X 1 kg	0	0	20	1	1	1095	Pack	PERSA01	Persada Agro Sukses, PT	No Group	No Group	No Group	Satyazeb 80 WP	Mancozeb		7443
