tgl_inputer,kd_faktur,kd_rute,salesman,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts
30/1/2026,D26001658,LMJ,Ariyani,CENT04,QDELL04,"Dellacid 525 EC 25 X 500 ml*",25,Btl,23030917,1/2/2028,4855000.0000261,60,1,1,1
30/1/2026,D26001658,LMJ,Ariyani,CENT04,QDELL01,"Dellacid 525 EC 40 x 200 ml*",40,Btl,25030702,1/2/2030,4855000.0000261,60,1,1,1
30/1/2026,D26001659,LMJ,Ariyani,SUBU05,QMULS22,"Mulsa Karisma 60 cm / 10 kg (Roll)",10,Roll,0,1/1/1000,2713749.9999802,30,1,1,1
30/1/2026,D26001660,KRS,Faris,TANI220,QACL01,"ACL 6 865 SL 50 X 200 ml*",15,Btl,6.01E+11,1/8/2027,732499.99999009,30,1,1,1
30/1/2026,D26001660,KRS,Faris,TANI220,QACL02,"ACL 6 865 SL 25 X 400 ml*",10,Btl,6.01E+11,1/11/2029,732499.99999009,30,1,1,1
30/1/2026,D26001661,BLI-1,Zakia,SARI07,QROUN01,"Round Up 486 SL 12 X 1 ltr",48,Btl,601006,1/1/2031,4424000.0000144,30,1,1,1
30/1/2026,D26001661,BLI-1,Zakia,SARI07,QFENV05,"Fenval 200 EC 20 X 250 ml*",20,Btl,21118,1/12/2028,4424000.0000144,30,1,1,1
30/1/2026,D26001662,BLI-1,Zakia,SARI07,QTOPS02,"Topsindo 70 WP 20 X 500 gr*",20,Pack,88046,1/12/2026,1960000.0000342,30,1,1,1
30/1/2026,D26001663,LMJ,Ariyani,SEDU03,QSCOR03,"Score 250 EC 50 X 80 ml",5,Btl,JAK5H23059,1/8/2027,277500,30,1,1,1
30/1/2026,D26001664,LMJ,Ariyani,SEDU03,QJAGU25,"Jagung Pertiwi 6 20 X 1 kg",40,Pack,250007H,1/12/2026,3360000,30,1,1,1
30/1/2026,D26001665,LMJ,Ariyani,SEDU03,QJAGU58,"Jagung NK 7202 20 X 1 kg",40,Pack,20908295,23/10/2026,3880000,0,1,1,1
30/1/2026,D26001666,JLS,Yuyun,SUMB67,QAGRO02,"Agrogibb 40 SL 30 X 15 X 35 ml",50,Btl,25GAT1011,1/10/2030,1175000.0000414,30,1,1,1
30/1/2026,D26001667,LMJ,Ariyani,TAND01,QJAGU04,"Jagung Bisi 2 20 X 1 kg",40,Pack,251030AF02,6/10/2026,2800000,30,1,1,1
30/1/2026,D26001668,LMJ,Ariyani,TAND01,QMULS86,"Mulsa Karisma Q989 60 cm X 8 kg (Roll)*",4,Roll,0,1/1/1000,1120000.080991,30,1,1,1
30/1/2026,D26001669,JLS,Yuyun,BIMA04,QDEWA01,"Dewa Dewi 15 X 1 ltr*",5,Btl,0,1/1/2031,379999.99995766,30,1,1,1
30/1/2026,D26001669,JLS,Yuyun,BIMA04,QDEWA02,"Dewa Dewi 20 X 500 ml*",5,Btl,0,1/1/2031,379999.99995766,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",2200,Pack,060361,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",5000,Pack,060373,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",5000,Pack,060373,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",14000,Pack,060373,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",20600,Pack,060366,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001670,JBR,Yuyun,FAJA04,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",24200,Pack,060366,1/8/2027,560000000,30,1,1,1
30/1/2026,D26001671,SBY,Reni,ANEK03,QMKP01,"MKP 20 X 1 kg",4000,Pack,122025,1/12/2028,192000000.00003,30,1,1,1
30/1/2026,D26001672,STB,Faris,PRIM03,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",10200,Pack,060366,1/8/2027,84000000.000024,30,1,1,1
30/1/2026,D26001673,KD-2,Zakia,BERK02,QGAND04,"Gandasil D 24 X 500 gr",66,Pack,BN5512,1/12/2028,30763200.000005,30,1,1,1
